zip_code,average income
10001,102878.03360298694
10002,59604.04116465864
10003,114273.04964539009
10004,132004.3103448276
10005,121437.7133105802
10006,126377.1186440678
10007,138853.90428211587
10009,77133.23353293413
10010,116272.69881026926
10011,120420.79207920792
10012,111131.78633975482
10013,106023.04469273744
10014,124233.12883435584
10016,109298.7308818744
10017,118061.72291296624
10019,107014.96779082986
10021,124193.91462306994
10022,124320.79414838034
10023,121776.25639482395
10024,118313.14878892733
10025,93258.39398919934
10026,65380.71800810655
10027,61675.983037779486
10028,117822.24532224532
10029,48339.6723229959
10030,48373.42271293375
10031,48674.798239178286
10032,46467.4900108972
10033,52235.16527279968
10034,50708.04658549497
10035,50944.669365722
10036,94940.64443188242
10037,57120.58212058212
10038,95681.62574089757
10039,47026.16970658208
10040,50772.05882352941
10044,86945.03171247357
10065,120720.64643799471
10069,133653.84615384616
10075,120113.13056379822
10128,111992.48721227625
10280,134397.5903614458
10282,152181.6037735849
10301,66913.36230309615
10302,57217.51412429378
10303,52778.861154446175
10304,61216.41074856045
10305,64277.19465648855
10306,73657.31115731115
10307,86900.43604651163
10308,81452.4647887324
10309,85576.92307692306
10310,67453.42929720576
10312,83484.34925864909
10314,74144.03778040141
10451,40553.319919517104
10452,35306.24661979448
10453,34474.69021882415
10454,35661.76470588235
10455,35785.48644338118
10456,34503.467062902426
10457,34633.56973995271
10458,35868.3314415437
10459,36056.161891768985
10460,36095.55804404629
10461,57890.49919484702
10462,49331.55080213904
10463,65918.80341880342
10464,84418.6046511628
10465,67554.12890231621
10466,47724.43890274314
10467,42034.178610804855
10468,37413.79310344827
10469,53108.54753793744
10470,58968.83289124668
10471,91633.16582914571
10472,37918.66028708134
10473,46564.81808548216
10474,35229.54091816367
10475,56136.16170590848
10502,120470.38327526132
10504,128945.70707070708
10506,126241.13475177305
10507,85787.03703703704
10509,84375.0
10510,124123.246492986
10511,82944.91525423728
10512,85317.00835231587
10514,136587.5912408759
10516,99500.0
10520,103052.55023183924
10522,107674.19962335218
10523,75297.61904761905
10524,102978.9719626168
10527,115178.57142857142
10528,100964.76510067114
10530,105584.37067773168
10532,101162.79069767444
10533,121352.7851458886
10535,74038.46153846153
10536,118916.9847328244
10538,127009.74421437272
10541,91301.88679245285
10543,95909.09090909093
10547,87107.32984293194
10548,86397.05882352941
10549,92114.69534050178
10550,48113.69509043928
10552,77373.41772151898
10553,58578.856152513
10560,104955.94713656387
10562,78564.81481481482
10566,63870.52877138414
10567,97280.48780487804
10570,112294.74548440066
10573,73685.89743589744
10576,125196.07843137256
10577,125904.6052631579
10579,95230.26315789472
10580,125284.09090909093
10583,127798.99894625922
10588,91138.05970149252
10589,108700.20964360586
10590,113611.96319018403
10591,87684.12438625205
10594,100277.77777777778
10595,105585.10638297872
10598,102525.33783783784
10601,83222.0367278798
10603,80059.82053838484
10604,87458.74587458746
10605,104251.45348837208
10606,71206.11551528878
10607,90000.0
10701,55344.26229508197
10703,62190.366972477066
10704,71318.10442678774
10705,53397.02760084926
10706,116423.7668161435
10707,101553.67231638418
10708,109944.93392070485
10709,102549.01960784312
10710,82270.67407922167
10801,67866.94957563655
10803,118323.62728785358
10804,125645.04881450487
10805,72483.76623376623
10901,87057.52212389381
10913,101730.76923076923
10916,92274.678111588
10917,80963.30275229357
10918,84708.12182741116
10919,75625.0
10920,92320.26143790848
10921,79525.86206896552
10923,69642.85714285714
10924,87706.14692653673
10925,79522.35772357724
10926,72992.22797927461
10927,48936.59711075442
10928,64747.807017543855
10930,85937.5
10940,61566.8813944676
10941,67564.93506493507
10950,71012.98701298701
10952,66818.87366818874
10954,84852.70700636943
10956,100368.77688998156
10960,86907.11462450594
10962,96595.14925373136
10963,75290.69767441861
10964,108854.16666666666
10965,96688.4328358209
10968,108200.0
10970,78904.80591497227
10973,85129.3103448276
10974,84500.0
10977,54143.05949008499
10980,83856.34588563458
10983,100324.67532467532
10984,86029.41176470589
10987,90975.60975609756
10989,95961.9341563786
10990,91337.5
10992,82287.44939271254
10993,55498.12030075188
10994,102152.95629820052
10998,89644.97041420118
11001,87465.51724137932
11003,62972.83702213279
11004,76746.32352941176
11010,83041.89085318986
11020,100918.5303514377
11021,105467.92849631966
11023,103758.74125874128
11024,98961.4243323442
11030,124556.0488346282
11040,93346.32516703788
11042,121250.0
11050,104821.54551407987
11096,48554.21686746989
11101,91603.38785046728
11102,67476.42744892614
11103,63495.96570852244
11104,66906.22861054073
11105,68860.90814196243
11106,66533.1940575673
11109,133892.85714285713
11201,117507.86388332857
11203,50698.51913942442
11204,51748.09830310123
11205,72222.22222222222
11206,51560.84305408271
11207,42837.47363487227
11208,40213.28593645857
11209,74627.30195849166
11210,61197.28128267689
11211,82047.45443117537
11212,39632.59000537345
11213,49651.68930686173
11214,51150.96359743041
11215,107133.58778625954
11216,65817.74081774082
11217,102531.34040501446
11218,65583.38377723971
11219,44299.33061699651
11220,37017.22832260508
11221,53503.67197062424
11222,89192.82029234737
11223,55444.3286692468
11224,50012.23091976516
11225,59241.72637325145
11226,51581.9099378882
11228,60916.66666666667
11229,63066.07521186441
11230,61947.777474775015
11231,99623.89380530972
11232,52851.94174757282
11233,50900.47393364929
11234,69030.64861012118
11235,60106.056890632666
11236,53505.434782608696
11237,49178.7542662116
11238,91554.80984340044
11239,46691.17647058824
11354,45820.25117739404
11355,36375.87379557906
11356,47101.851851851854
11357,74928.46924177397
11358,59587.37864077671
11360,88817.0731707317
11361,69375.86926286509
11362,80604.3956043956
11363,89290.83094555873
11364,71153.84615384616
11365,59569.00401965163
11366,69285.71428571429
11367,58402.06185567011
11368,37360.08394963022
11369,45303.27428878153
11370,52810.49250535332
11372,55456.262714327226
11373,43863.54943583859
11374,68042.50320375909
11375,89112.78837937908
11377,52190.35698737484
11378,60131.43483023002
11379,72842.22100054976
11385,56635.8024691358
11411,61994.70644850818
11412,53815.85743801653
11413,58580.26131591227
11414,76196.70905011219
11415,71841.82590233546
11416,44281.6091954023
11417,53020.833333333336
11418,50623.98263700488
11419,43174.27790788446
11420,50056.3524590164
11421,48021.92564346997
11422,58648.52398523985
11423,54796.32063074902
11426,70276.31578947368
11427,65363.48267117498
11428,56970.91273821464
11429,52782.01219512196
11432,53037.4246186591
11433,44920.7492795389
11434,52329.7354819094
11435,51125.46125461255
11436,49839.10891089109
11501,85836.25218914186
11507,100000.0
11510,79843.58569926393
11514,89222.44094488189
11516,92140.71856287424
11518,91313.55932203388
11520,59671.60592711253
11530,118536.503683858
11542,73920.92541436464
11545,111361.78861788617
11548,91840.27777777778
11550,48862.8818061089
11552,81212.34939759035
11553,50782.27931488801
11554,86064.6530204693
11557,101589.24205378973
11558,79934.9240780911
11559,99867.02127659574
11560,102707.71513353116
11561,93640.9137577002
11563,89795.25862068965
11565,103404.36590436591
11566,105126.97979246314
11568,120575.84269662922
11570,105026.04166666666
11572,94654.90797546013
11575,48674.82161060143
11576,122264.4376899696
11577,106933.27974276528
11579,108300.78125
11580,73163.81156316918
11581,86985.10078878177
11590,70964.97906357062
11596,100491.07142857143
11598,110045.75707154744
11691,47078.33904109589
11692,50110.01100110011
11693,61620.92624356775
11694,84441.93912063134
11701,63933.89500972133
11702,98351.47247119078
11703,76169.43866943866
11704,71373.95736793327
11705,97813.90134529148
11706,62169.90713871155
11709,93114.97326203209
11710,96386.2885462555
11713,66791.37323943662
11714,83813.59300476947
11715,100052.08333333334
11716,83194.93006993007
11717,46812.93808411215
11719,90184.0490797546
11720,78700.06548788474
11721,110901.16279069768
11722,51929.53020134228
11724,121079.88165680472
11725,98549.54367666232
11726,55373.63560033585
11727,71013.34180432021
11729,72742.94670846395
11730,91819.0416141236
11731,94574.00497512438
11733,107341.49054505004
11735,82861.76801801802
11738,76660.04540295119
11740,97479.20997921
11741,84909.67961826858
11742,82993.56223175966
11743,103036.97183098592
11746,82848.83720930232
11747,104056.72823218998
11749,69871.79487179487
11751,85309.76220275344
11752,79730.98330241187
11753,112131.78294573644
11754,92297.9797979798
11755,86842.1052631579
11756,82007.33074601121
11757,73587.71569433031
11758,94409.12173618175
11762,100554.85762144052
11763,71437.78207607995
11764,97788.46153846152
11765,123161.76470588236
11766,99173.07692307692
11767,94879.51807228915
11768,107389.8678414097
11769,93971.4566929134
11771,101956.106870229
11772,71971.15384615384
11776,74745.28301886792
11777,99267.67676767678
11778,79538.57791225417
11779,76973.36265884654
11780,100317.02898550723
11782,97106.20525059666
11783,97231.90932868353
11784,70300.6088280061
11786,96996.996996997
11787,97898.41182913473
11788,94110.9852774632
11790,98005.698005698
11791,110700.07955449482
11792,97381.75675675676
11793,98794.82657260436
11795,95215.58245083208
11796,92317.70833333334
11797,118949.203187251
11798,52085.59046587216
11801,72526.65245202558
11803,107390.09186351708
11901,59593.837535014005
11933,76187.33509234828
11934,87873.5632183908
11935,99111.67512690356
11937,88515.22842639594
11940,90025.68493150684
11941,94310.3448275862
11946,72249.38875305624
11948,89642.85714285713
11949,85349.80744544289
11950,58840.02361275089
11951,57116.78832116789
11953,69662.92134831462
11954,82229.4776119403
11955,75441.17647058824
11961,75357.62942779291
11963,99940.33412887828
11967,65339.25979680697
11968,93614.3572621035
11971,93495.29780564262
11977,95238.09523809524
11978,87203.79146919432
11980,84609.12052117265
12009,86375.0
12010,56250.00000000001
12018,83821.6957605985
12019,93461.53846153848
12020,77806.40668523677
12022,64329.26829268293
12027,92149.75845410628
12028,67105.26315789473
12033,80378.97310513447
12037,68581.08108108108
12043,61367.06948640484
12047,65744.02125775022
12051,68071.42857142857
12053,81278.28054298642
12054,97130.24282560706
12056,81526.54867256638
12057,63414.63414634147
12061,85931.27490039842
12065,83914.7702876771
12067,75844.5945945946
12068,60037.878787878784
12074,77166.66666666666
12077,94878.223495702
12078,52572.427572427565
12083,70489.69072164949
12084,77405.85774058578
12085,46323.52941176471
12086,68489.58333333334
12090,60552.536231884056
12093,59760.27397260274
12095,58839.285714285725
12110,78732.71889400922
12116,60156.25
12117,63087.24832214764
12118,77311.542991755
12120,65277.77777777777
12122,61082.47422680413
12123,74100.37878787878
12134,67809.13978494624
12136,92151.16279069768
12137,73174.1573033708
12138,66637.93103448275
12140,83096.59090909091
12143,66666.66666666666
12144,69984.14855072463
12148,100809.71659919027
12149,56071.42857142857
12151,88207.54716981133
12154,73817.56756756757
12155,55696.20253164557
12157,65000.0
12158,79466.96696696695
12159,103389.83050847458
12160,66944.44444444444
12167,57339.4495412844
12170,73207.17131474103
12180,61354.60251046026
12182,56774.53769559033
12183,57634.22818791946
12184,78053.16091954023
12186,93621.70087976538
12187,60197.36842105263
12188,73362.06896551725
12189,61428.57142857143
12190,60472.97297297298
12196,85947.71241830065
12197,65500.0
12198,80112.21945137157
12202,37166.26213592233
12203,72107.73680404916
12204,64454.094292803966
12205,67594.78672985782
12206,40102.58358662614
12207,50360.57692307692
12208,66769.80198019801
12209,55650.68493150685
