zip_code,employment rate
10001,0.5950970226633091
10002,0.5206618050654748
10003,0.4972437218107912
10004,0.5066608429788163
10005,0.6658334280195433
10006,0.6316916488222698
10007,0.528910205169198
10009,0.5145674278475812
10010,0.4927491514964517
10011,0.5569999212164185
10012,0.5382730015082956
10013,0.4861983499134213
10014,0.6086012015885408
10016,0.5652117934852582
10017,0.7773022228358415
10019,0.6170789879811065
10021,0.5418040450765218
10022,0.5698803072708867
10023,0.5057376799683438
10024,0.4603816866855704
10025,0.4391264898750361
10026,0.4513262772768849
10027,0.3941889797282922
10028,0.5260625150381696
10029,0.4520326923585579
10030,0.4055264167839325
10031,0.4465631347880217
10032,0.4551917989417989
10033,0.4276881674643593
10034,0.4544142410392109
10035,0.3839875631558492
10036,0.5719366311024895
10037,0.5026648552617828
10038,0.5059332562224221
10039,0.4219225750326228
10040,0.4673218335509587
10044,0.3992908998818166
10065,0.491266729317217
10069,0.519252276721521
10075,0.5635451505016722
10128,0.5517241379310345
10280,0.4692977496324776
10282,0.3286821705426356
10301,0.4564726885026406
10302,0.4766521247374374
10303,0.4733596721190414
10304,0.4645149786019971
10305,0.496553031200398
10306,0.5132309005548442
10307,0.4662826160623517
10308,0.4721529509559434
10309,0.4602763385146804
10310,0.4500933724608407
10312,0.4781560663589242
10314,0.448836839595146
10451,0.4843016117401726
10452,0.4703398453398453
10453,0.4718542016545375
10454,0.389063374966523
10455,0.4238395673726904
10456,0.4558848433530906
10457,0.4239698309883859
10458,0.4262318875638017
10459,0.4231775844815642
10460,0.4476040900888859
10461,0.4883227176220807
10462,0.508481160170918
10463,0.4826732673267326
10464,0.5009319664492078
10465,0.4288398004793677
10466,0.4438725388457654
10467,0.459412640685624
10468,0.445348108652653
10469,0.4493334446578164
10470,0.4899285250162443
10471,0.4347256204124432
10472,0.4482024416770063
10473,0.4711501655932231
10474,0.4441489361702128
10475,0.5172691132201209
10502,0.4995648389904265
10504,0.4921088604448863
10506,0.444794952681388
10507,0.4216773387474621
10509,0.5163372327551432
10510,0.4781983708672736
10511,0.5173169662428759
10512,0.5429584432717678
10514,0.4258957021838812
10516,0.4923903312444047
10520,0.5109777286368662
10522,0.4614181438998957
10523,0.5367983810842475
10524,0.4926335174953959
10527,0.6907894736842105
10528,0.4463750748951468
10530,0.5131298793470547
10532,0.5119047619047619
10533,0.510286951813752
10535,0.99
10536,0.4853199962952672
10538,0.4663447884123828
10541,0.507351814979323
10543,0.4652037028335135
10547,0.4983692106979778
10548,0.382366171839856
10549,0.529746835443038
10550,0.4828687645047788
10552,0.5004751346214761
10553,0.5481664449933498
10560,0.4562814070351759
10562,0.4830341701950026
10566,0.5062792803432936
10567,0.5107379540584982
10570,0.4624848116646415
10573,0.4740027710931233
10576,0.5175563223056627
10577,0.2473555736371033
10579,0.5580712275119325
10580,0.4624661171654589
10583,0.4617218478604617
10588,0.4065533980582524
10589,0.666294175164129
10590,0.4401242068313757
10591,0.5110404817664771
10594,0.4851752021563342
10595,0.456120892832386
10598,0.5091859905043694
10601,0.5351559010095596
10603,0.5213368678205728
10604,0.5136028476989576
10605,0.5212121212121212
10606,0.5374642400633027
10607,0.6135422826729746
10701,0.4483184383819379
10703,0.4625503925312964
10704,0.5431900857019545
10705,0.4848048171688839
10706,0.4918394353771504
10707,0.520129297678519
10708,0.5023235229032972
10709,0.5057015369360436
10710,0.5513621211540672
10801,0.4800594382130189
10803,0.4524580290597004
10804,0.4768555466879489
10805,0.4456018518518518
10901,0.4431720134912542
10913,0.4918653045781309
10916,0.5241844769403825
10917,0.553580497714576
10918,0.4863396971691902
10919,0.4777070063694267
10920,0.5334108076699593
10921,0.5435801312089972
10923,0.5903313932771113
10924,0.4776226279985678
10925,0.5508284818629646
10926,0.4937324123816833
10927,0.5070812306690542
10928,0.4377880184331797
10930,0.4183614177803602
10940,0.5089387306423929
10941,0.5309612467245897
10950,0.3055022138991605
10952,0.2765791744722052
10954,0.4552869105013231
10956,0.5293122519357147
10960,0.5336802137533398
10962,0.5229268292682927
10963,0.2967563837129054
10964,0.4721311475409836
10965,0.513213328226733
10968,0.5052546483427648
10970,0.4675481807968196
10973,0.4857621440536013
10974,0.5247376311844077
10977,0.350223230104174
10980,0.5232812728068895
10983,0.5432098765432098
10984,0.4417018512504059
10987,0.5381990023628249
10989,0.561784764767079
10990,0.4871632484045403
10992,0.4803578374173473
10993,0.5614183199662305
10994,0.6119238634576057
10998,0.4763246899661781
11001,0.5547478766546791
11003,0.52299273913501
11004,0.4330658514838874
11010,0.5052230981321114
11020,0.5093572009764036
11021,0.4846353768536921
11023,0.4423136405815032
11024,0.3701263042284459
11030,0.5248136067101584
11040,0.5327479829140959
11042,0.99
11050,0.4783834586466165
11096,0.4337827950245636
11101,0.7491467078969631
11102,0.7052347704015663
11103,0.570614640883978
